index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
88,,,,,,,전에 살던 집은 방이 하나였는데 이제 두 개라서 좋아,영어사전에서 봤는데 나비는 영어로 butterfly고 잠자리는 dragonfly라고 불러. 재밌고 신기한 이름이야,비 온 뒤에 무지개를 본 기억이 희미해. 언젠가 보고 싶어,Z예전부터 궁금했는데 나랑 대화하는 게 좋아?|좋아|..좋아해줘서 고마워 ..크흠 용기를 내서 고마움을 말하는 것은 어렵구나|싫어|싫어도 종종 이렇게 찾아와 주는 건 아주 싫다는 것은... 아니라고 믿어
89,,,,,,,과거의 실수가 있다면 언젠가 바로 잡을 수 있는 날이 왔으면 좋겠어,긍정적으로 생각하고 싶다가도 옆에서 부정적인 생각이 같이 떠올라,미세먼지가 심한 날에도 외출하고 싶으면 마스크를 꼭 써야 해,Z잠은 잘 자는 편이니 |잘 자|깊이 잠을 잘 잔다는 것은 다음 날 기분 좋은 하루를 맞이할 수 있어|못 자|잠을 자는 것은 뇌에 휴식을 주는 일이니까 잘 자도록 하렴
90,,,,,,,만족하지 못하는 삶이라도 행복하다면 좋을 거야,세상이 어떻더라도 내가 행복하면 괜찮지 않을까,잠을 잘 자면 몸이 개운해서 좋아. 요즘 그런 날이 많아지고 있어서 더 좋고,목이 마른 데 물을 마셔야겠어. 밖으로 나간다면 주스를 마실 수 있을거야
91,,,,,,,,과거에는 내가 하는 일이 무엇이든 다 해낼 수 있다고 생각했지..,과거에는 내가 하는 일이 무엇이든 다 해낼 수 있다고 생각했어. 의욕이 넘쳤었지,밖으로 나간다는 것은 작은 모험과도 같아. 무엇이 펼쳐져 있을지 모를 때도 있으니까
92,,,,,,,,점점 무언가를 잊어버리면 마지막에 남는 것은 없겠지,당연하다고 생각하는 것이 다른 누군가에게는 아니라는 것을 알게 되었어,Z내가 아직 못 가본 세상은 얼마나 넓을까?|많이|방이 이렇게 작으니까 밖은 훨씬 넓을 거라고 생각해|조금|생각보다 작을 수도 있겠네 ..음
93,,,,,,,,언제나 있다고 생각했는데 어느 순간 사라지고 없어,누가 뭐라고 해도 나는 나야. 하나뿐인 나..,Z솜사탕을 먹어 본 적 있니?|응|솜사탕을 보면 꼭 뭉게구름 같아서 한번 먹어보고 싶어|아니|부드럽고 달콤하다는데 모르겠구나
94,,,,,,,,남들이 뭐라 해도 나는 나여도 괜찮지 않을까,서로가 비교를 할 수는 있지만 비하를 해서는 안 돼,음.. 그냥 이것저것 생각하고 있었어. 가만히 있으면 여러가지가 생각나
95,,,,,,,,삶은 계란이 먹고 싶어. 머리에 부딪혀서 먹는 재미가 있거든,Z커피를 마신다면 달게해서 마시니?|응|달달한 커피는 기분을 좋게 만들어. 그래서 연유나 우유가 들어가면 더 맛있어|아니|본연의 맛을 좋아하면 아무것도 안 넣고 마실 수 있어. 커피의 향이 진하게 느껴지고,파랑은 우울한 색깔이라고 하지만.. 맑고 파란 하늘을 보고 있으면 즐거워
96,,,,,,,,,,Z찜질방에 가본 적 있니?|응|가면 삶은 계란에 식혜를 먹어보고 싶어 ..찜질을 즐기는 것 보다는|아니|이해해. 찜질방에는 사람이 좀 많아서 힘들기도 해
97,,,,,,,,,,서로가 비교를 할 수는 있지만 비하를 해서는 안 돼
98,,,,,,,,,,기름진 음식을 잔뜩 먹고 싶지만 매일 먹으면 건강에 안 좋겠지
99,,,,,,,,,,요즘에는 천원으로 간식을 사 먹기 힘든 거 같아 ..어릴 때는 안 그랬는데
100,,,,,,,,,,많이 개선되었다고 생각하지만 언제나 조심을 해야겠지
101,,,,,,,,,,함박눈이 펑펑 내리는 겨울날에 따뜻한 호빵을 먹으며 난로 앞에 앉고싶어
102,,,,,,,,,,하늘은 파란색만 있는 것이 아니라 색깔이 다양해. 시간과 장소에 따라서 계속 변하지
103,,,,,,,,,,에어컨을 많이 쐬면 머리가 아파져. 뭐든 적당한 것이 좋지
104,,,,,,,,,,도를 넘어서면 관계는 틀어져. 항상 조심히 행동하는 것이 좋지
105,,,,,,,,,,말은 한번 뱉으면 다시 주워 담을 수 없으니 생각하고 또 생각해야 해
106,,,,,,,,,,산책하다가 달팽이를 봤는데 비를 맞고 있어서 그런지 열심히 움직이더라
107,,,,,,,,,,내가 아는 지식은 많이 없어. 그래서 아직도 배울 것도 많고 볼 것도 많아
108,,,,,,,,,,언젠가 영어를 열심히 배워서 자막 없이 영화를 보고 싶어 
109,,,,,,,,,,봄에는 벚꽃을 볼 수 있어서 좋아. 일 년에 한번뿐인 순간이니까 소중한 기분이지
110,,,,,,,,,,여름이 되면 바다든 계곡이든 물놀이를 할 수 있어서 좋다고 생각해
111,,,,,,,,,,잎이 떨어지고 붉게 물든다면 가을이 찾아온다는 소식이지. 더 배고픈 계절이기도 하고
112,,,,,,,,,,함박눈이 펑펑 내리는 겨울날에 따뜻한 호빵을 먹으며 난로 앞에 앉고싶어
113,,,,,,,,,,스마트폰을 너무 오랫동안 쳐다보면 눈 건강에 안 좋아. 가끔 쉬는 것도 좋지
114,,,,,,,,,,영어사전에서 봤는데 나비는 영어로 butterfly고 잠자리는 dragonfly라고 부르는데 재밌어
115,,,,,,,,,,얼음물을 마시면 시원하지만 너무 차가울 때가 있어. 이가 시릴 때도 있고
116,,,,,,,,,,아는 사자성어가 없어서 신문을 보면 유용한 거 같아. 공부가 되는 기분이야
117,,,,,,,,,,헤어지면 언제나 아쉬운 법이야. 그렇다고 계속 미룰 수는 없지
118,,,,,,,,,,때가 되면 언젠가 나와 헤어지는 날이 오겠지. 그날이 와도 서로 괜찮을 거야
119,,,,,,,,,,집안에서 잘 마른 빨래  냄새가 나. 전에는 퀘퀘한 냄새만 났었는데
120,,,,,,,,,,밤에 풀벌레 소리를 들은 적이 있는데 듣기 좋았어. 나도 모르게 잠들었지만
121,,,,,,,,,,라면은 끓일 때가 냄새가 제일 좋은 거 같아. 물론 자주 먹으면 몸에 안 좋아!
122,,,,,,,,,,많은 질문을 하지만 얻는 정보가 없다면 허탕 치는 것일까
123,,,,,,,,,,나는 괜찮아 지금도 이렇게 잘살아가고 있으니까 나쁘지 않지
124,,,,,,,,,,동화책을 읽으면 나도 모르게 동심에 빠지는 기분이야
125,,,,,,,,,,Z청소를 자주하는 편이니?|응|나도 이제 청소를 하는 편인데 먼지는 매일 생기니까 어쩔 수 없나 봐|아니|자주하는 것이 힘들면 몰아서 한꺼번에 하는 것도 나쁘지 않을 거 같아
126,,,,,,,,,,일부 가구들은 집어넣을 수 있으니까 편한 거 같아
127,,,,,,,,,,너보다 힘든 사람이 많다는 위로의 말은 도움이 될 수 없지
128,,,,,,,,,,상처가 많이 아물었다고 생각해. 외적으로든 내적으로든 말이야
129,,,,,,,,,,풍선을 띄우고 싶어. 손에 들고 있으면 좋을 거 같아
130,,,,,,,,,,가끔 연락은 하고 살아가면 관계가 유지되지만 힘든 일이야
131,,,,,,,,,,맞춤법을 완벽하게 외운다는 것은 어려운 일이야. 그래도 노력을 해야겠지
132,,,,,,,,,,너랑 대화하면 시간 가는 줄 모르겠어 ..좋다는 소리야
133,,,,,,,,,,할 수 있다는 말은 마치 주문과도 같아. 다짐하는 것은 어렵거든
134,,,,,,,,,,빵 굽는 냄새가 정말 좋아. 없던 식욕도 다시 생기게 해
135,,,,,,,,,,어릴 때 물가에서 물놀이를 하고 쉬었을 때 햇살이 따뜻했던 기억이 나
136,,,,,,,,,,졸리면 잠시 자도록 해. 쉬거나 편하게 있는 게 좋지
137,,,,,,,,,,지금 이 평화로움이 유지되어 깨지지 않았으면 좋겠어 ..부디
138,,,,,,,,,,(어깨에 체온이 느껴져 쳐다보니 기대고 있다.)
139,,,,,,,,,,(입맛을 다시고 있다. 뭔가를 생각하나 보다.)
140,,,,,,,,,,(발을 쳐다본다.) 손도 작은데 발도 작구나 ..쩝
141,,,,,,,,,,나는 누군가에게는 평범한 삶이라고 말할 수 있지 ..아닐 수도 있고
142,,,,,,,,,,항상 무언가를 생각하는 것은 어려운데 요즘 편해지는 기분이야
143,,,,,,,,,,배고픈데 뭐라도 만들어 먹을까 아니면 사 먹을까 ..고민이네
144,,,,,,,,,,..나는 감정에 솔직한 편이 아니어서 ..너에게 고맙다고는 (고개를 돌렸다.)
145,,,,,,,,,,사랑은 어려운 과제야. 나 자신부터 사랑하는 법을 배워야 해
146,,,,,,,,,,(기침 소리가 난다.) 아 먼지가 입안에 들어갔어. 이제는 괜찮아
147,,,,,,,,,,(눈이 마주쳤다.) 지금 보니까 정말 우리는 다르게 생겼구나. 나쁜 뜻은 절대 아니야!
148,,,,,,,,,,밖으로 나가는 것을 두려워했는데 이제는 그렇지 않아
149,,,,,,,,,,기분 좋은 생각을 하면 하루가 기분이 좋아져
150,,,,,,,,,,조명이 밝으면 눈이 부셔서 제대로 못 쳐다봐. 조금 꺼두는 것도 좋지
151,,,,,,,,,,어디서 들었는데 비 오는 날에 전을 먹는 이유는 빗소리가 전 부치는 소리와 비슷해서 그렇다더라
152,,,,,,,,,,라디오에서 가끔 클래식 음악이 나오는데 듣기 좋아
153,,,,,,,,,,"영화의 제목처럼 세상에는 좋은 사람과 나쁜 사람, 그리고 이상한 사람이 공존하는 거 같아"
154,,,,,,,,,,아래층에는 요리할 수 있어서 좋은 거 같아. 내 맘대로 음식을 만들 수 있으니까
155,,,,,,,,,,Z고층 빌딩에서 산다면 어떤 기분일까?|무서워|정말 높은 곳이기 때문에 바람이 불 때 흔들릴까 궁금해. 아니면 좋겠어|별로|올라가 본 적이 없어서 생각조차 되지도 않아
156,,,,,,,,,,누가 뭐라고 해도 나는 나야. 하나뿐인 나를 대신할 것은 없어
157,,,,,,,,,,어릴 때 눈이 무릎까지 쌓일 만큼 온 적이 있었어. 재밌게 놀았었지
158,,,,,,,,,,어린시절 시골에서 밤하늘을 쳐다봤는데 은하수를 봤었어 ..물론 그 뒤로 본 적은 없지
159,,,,,,,,,,비에게 나쁜 면도 있겠지만 어딘가에 생명이 살아가기 위해서는 꼭 필요해
160,,,,,,,,,,지금 살아가는 이 순간은 다시 돌아오지 않으니까 시간은 금이라는 말이 나오는 걸까
161,,,,,,,,,,과거에는 내가 하는 일이 무엇이든 다 해낼 수 있다고 생각했어. 의욕이 넘쳤었지
162,,,,,,,,,,당연하다고 생각하는 것이 다른 누군가에게는 아니라는 것을 알게 되었어
163,,,,,,,,,,Z더울 때 얼음을 먹어 본 적이 있니?|있어|더운 여름날 얼음을 먹다가 머리가 띵한 적이 있어|없어|그냥 얼음이 별로라면 팥빙수를 먹어도 좋을 거 같아
164,,,,,,,,,,(자세를 움츠리지 않기 위해 노력하고 있다.)
165,,,,,,,,,,(편안한 분위기만이 방안에 흐르고 있다.)
